test,run,ms,rows,status,error
A_journey_01,1,64,20,ok,
A_journey_02,1,59,20,ok,
A_journey_03,1,57,20,ok,
A_journey_04,1,61,20,ok,
A_journey_05,1,64,20,ok,
A_journey_06,1,64,20,ok,
A_journey_07,1,61,14,ok,
A_journey_08,1,52,20,ok,
A_journey_09,1,49,4,ok,
A_journey_10,1,46,18,ok,
A_journey_11,1,62,20,ok,
A_journey_12,1,63,20,ok,
A_journey_13,1,52,20,ok,
A_journey_14,1,50,20,ok,
A_journey_15,1,58,20,ok,
A_journey_16,1,66,20,ok,
A_journey_17,1,59,20,ok,
A_journey_18,1,47,20,ok,
A_journey_19,1,47,20,ok,
A_journey_20,1,61,14,ok,
A_journey_21,1,66,20,ok,
A_journey_22,1,50,20,ok,
A_journey_23,1,56,18,ok,
A_journey_24,1,46,20,ok,
A_journey_25,1,64,20,ok,
A_journey_26,1,48,20,ok,
A_journey_27,1,58,20,ok,
A_journey_28,1,69,20,ok,
A_journey_29,1,71,20,ok,
A_journey_30,1,62,20,ok,
A_journey_31,1,58,20,ok,
A_journey_32,1,62,20,ok,
A_journey_33,1,51,20,ok,
A_journey_34,1,55,20,ok,
A_journey_35,1,49,20,ok,
A_journey_36,1,47,20,ok,
A_journey_37,1,48,20,ok,
A_journey_38,1,61,20,ok,
A_journey_39,1,48,20,ok,
A_journey_40,1,51,20,ok,
A_journey_41,1,50,20,ok,
A_journey_42,1,48,20,ok,
A_journey_43,1,49,20,ok,
A_journey_44,1,59,20,ok,
A_journey_45,1,50,20,ok,
A_journey_46,1,46,20,ok,
A_journey_47,1,45,20,ok,
A_journey_48,1,47,18,ok,
A_journey_49,1,50,20,ok,
A_journey_50,1,47,20,ok,
A_journey_51,1,50,20,ok,
A_journey_52,1,52,20,ok,
A_journey_53,1,50,20,ok,
A_journey_54,1,52,20,ok,
A_journey_55,1,46,20,ok,
A_journey_56,1,52,2,ok,
A_journey_57,1,65,20,ok,
A_journey_58,1,45,20,ok,
A_journey_59,1,52,4,ok,
A_journey_60,1,54,20,ok,
A_journey_61,1,50,20,ok,
A_journey_62,1,54,16,ok,
A_journey_63,1,49,20,ok,
A_journey_64,1,58,20,ok,
A_journey_65,1,46,20,ok,
A_journey_66,1,47,20,ok,
A_journey_67,1,49,20,ok,
A_journey_68,1,51,20,ok,
A_journey_69,1,49,20,ok,
A_journey_70,1,50,20,ok,
A_journey_71,1,48,20,ok,
A_journey_72,1,48,20,ok,
A_journey_73,1,46,20,ok,
A_journey_74,1,56,20,ok,
A_journey_75,1,51,8,ok,
A_journey_76,1,45,20,ok,
A_journey_77,1,46,20,ok,
A_journey_78,1,47,16,ok,
A_journey_79,1,55,20,ok,
A_journey_80,1,46,20,ok,
A_journey_81,1,43,20,ok,
A_journey_82,1,47,18,ok,
A_journey_83,1,46,20,ok,
A_journey_84,1,55,20,ok,
A_journey_85,1,61,20,ok,
A_journey_86,1,62,20,ok,
A_journey_87,1,45,20,ok,
A_journey_88,1,54,20,ok,
A_journey_89,1,48,20,ok,
A_journey_90,1,52,20,ok,
A_journey_91,1,47,20,ok,
A_journey_92,1,50,10,ok,
A_journey_93,1,47,20,ok,
A_journey_94,1,45,20,ok,
A_journey_95,1,49,20,ok,
A_journey_96,1,52,20,ok,
A_journey_97,1,52,20,ok,
A_journey_98,1,47,20,ok,
A_journey_99,1,55,20,ok,
A_journey_100,1,50,20,ok,
B1_funnel_24h,1,172,10,ok,
B1_funnel_24h,2,108,10,ok,
B1_funnel_24h,3,97,10,ok,
B2_funnel_48h,1,188,10,ok,
B2_funnel_48h,2,182,10,ok,
B2_funnel_48h,3,189,10,ok,
B3_inflight_24h,1,38,10,ok,
B3_inflight_24h,2,38,10,ok,
B3_inflight_24h,3,37,10,ok,
B4_hourly_throughput_48h,1,47,476,ok,
B4_hourly_throughput_48h,2,46,476,ok,
B4_hourly_throughput_48h,3,45,476,ok,
B5_route_rollup_24h,1,95,40,ok,
B5_route_rollup_24h,2,153,40,ok,
B5_route_rollup_24h,3,152,40,ok,
